ticker,date,price
WIX,2024-09-23,163.87
WIX,2026-04-14,63.84
WMT,2024-08-15,71.837
WMT,2025-05-15,95.5519
WSC,2023-06-14,46.2784
WSC,2024-04-16,38.888
WULF,2026-03-13,14.67
XPO,2024-11-15,145.79
XPO,2025-05-15,125.68
ZBH,2023-11-28,110.2145
ZBH,2025-06-16,90.9648
